,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
0,1.0,16106.942457019282,13275.594121223105,4.061,3.383,20141.293587565706,58364.85595351542,58207.85575441776,923451.512990015,1133.0
1,2.0,3853.911383732475,27508.078402549523,4.044,3.38,7033.02521853305,12950.96380423021,4507.714317038056,541647.9969156223,1103.0
2,8.0,8951.521392519231,6271.426833678634,4.075,3.367,11503.737632645927,16858.195263782723,23850.90256733194,724355.2489683197,1093.0
3,13.0,4443.473834617016,16192.7073227439,4.056,3.436,7123.823030430673,3068.2455877217135,4405.561761482878,660527.5730338981,1091.0
4,16.0,9262.546818064435,18965.14242580711,4.006,3.391,12097.62844393202,19383.794495902963,17726.17280441126,418058.2406988564,1088.0
5,19.0,2300.879956510875,6014.4854591076955,4.024,3.452,6199.199738462055,687.693441727135,11819.984913628863,778119.1029885897,1085.0
6,20.0,7834.8597910100025,25831.592431982033,4.02,3.357,10135.134366972256,7319.59859280477,21183.13057321016,656246.2609669856,1080.0
7,25.0,17599.507790712258,5131.215990807337,4.042,3.279,17869.580173267972,42164.43056551098,49817.135407220456,897433.6291350145,1078.0
8,27.0,410.94944383512706,4543.266615750413,4.01,3.473,-113.58400001004338,5.98,5.98,275582.36953971925,1076.0
9,33.0,1109.0229875819655,16810.561722356746,3.966,3.48,2792.7130047526152,5.98,5.98,174929.83788165654,1075.0
10,34.0,3524.098219204767,10359.9880913112,4.062,3.39,6669.7721114297265,6134.104327355997,8415.341994120548,677404.0999576444,1064.0
11,41.0,18585.570538827782,12553.437225303624,4.114,3.188,19201.144982022754,43537.70806830442,46782.04639721432,550255.5962868332,1061.0
12,46.0,48794.422524400565,6263.031144960616,4.202,3.422,26328.637074806076,78316.30005741437,80577.06139583547,956517.9833354694,1057.0
13,48.0,5659.917246706699,4077.1532372126753,4.047,3.469,7134.21036684225,10701.645578208148,17505.460748468926,722034.5388405698,1050.0
14,53.0,21269.17591986501,8219.32389838317,4.137,3.39,15532.030850952819,45508.785222225895,51387.767145423,865115.3160421518,1049.0
15,55.0,1860.2621935942195,2052.520754541578,3.94,3.492,1710.141710238971,2238.651541328572,5318.54006673764,296209.1034986552,1046.0
16,64.0,2395.5997709636295,10273.556353202592,4.027,3.47,2072.9735353496853,5.98,5.98,360445.3070382777,1042.0
17,68.0,10406.413544751696,11619.749558349267,4.028,3.386,17377.803225029482,24388.04758901842,19380.066718124315,823538.9715911278,1041.0
18,70.0,9427.887938078607,7843.530556268856,4.02,3.415,14003.115103463046,26030.3502046504,28891.520941879542,460948.2235066249,1040.0
19,72.0,7240.094369724466,3502.709603438983,4.08,3.432,9667.712380532841,18964.28520483309,15847.316860294937,474274.17460826284,1033.0
20,76.0,11298.527954938234,14112.68279342258,4.033,3.527,10042.337417773744,24035.786536364132,29222.304153359153,915374.376966278,1029.0
21,83.0,49150.11501664578,37242.151162463066,4.18,3.294,25863.49921081013,82093.60029772668,92250.67489420598,958152.2135756342,1024.0
22,85.0,12419.265360630698,10089.1724704636,4.029,3.33,14614.212873103726,36301.18337207382,39602.40809076639,799212.0144944602,1022.0
23,86.0,19355.7638427027,27498.483037077516,4.095,3.509,14756.688715324912,46229.31689047738,42686.46576729952,846953.5192236037,1016.0
24,91.0,9663.056138060196,8215.878034873358,4.038,3.588,9762.69240784525,31473.942096896073,22543.11747199423,860524.6752289665,1015.0
25,95.0,41522.935366591075,11935.672897764976,4.079,3.322,28944.57067431796,91598.54946687221,86552.91722494582,918994.424488999,1014.0
26,96.0,13994.674897509269,5364.467709542176,4.079,3.31,15213.402755855504,42117.92200334156,38406.06847036422,635835.6450906988,1004.0
27,108.0,19310.188820293297,26166.74165713677,4.089,3.353,16544.74574554373,42860.972494265516,45402.487571688755,835345.5605320327,1001.0
28,110.0,191.27285930849777,2570.9058346715974,3.974,3.347,-113.58400001004338,5.98,5.98,96647.96801832019,997.0
29,112.0,7738.850254092173,5126.2225000225135,4.015,3.422,11179.162432125595,24844.177280588232,21660.313772698864,791454.8766547276,996.0
30,116.0,13481.994178387944,7576.979099882891,4.067,3.37,17407.09910843915,32823.75955544786,37509.798724275905,774704.2730927657,985.0
31,119.0,13823.981499479998,1532.9526652914544,4.025,3.447,16239.26253243515,33788.48354650569,35464.83184015999,839578.0031489953,976.0
32,136.0,3828.778302868479,8324.177832702811,4.029,3.329,4920.395162734598,15260.359270267052,18423.434834576765,596094.1202017139,973.0
33,137.0,5663.859158874227,10632.23859561194,4.051,3.426,8863.135227206145,16938.336634100735,18069.919678963248,726580.8213334164,971.0
34,141.0,14338.239779336493,12136.62823573099,4.057,3.344,17322.042581126865,42173.97467383246,49293.95618440644,736056.0749641992,966.0
35,143.0,10243.88183865707,9039.803762601015,4.032,3.445,14320.866988344531,34665.22959550029,28049.291964338314,842985.4532899495,960.0
36,144.0,2184.589732711795,18511.15500717847,3.996,3.477,1124.4050987580977,1798.1291005200596,7609.599798275761,455769.0063893442,957.0
37,153.0,25232.585859888703,44068.58210264506,4.088,3.347,19729.798787085623,72478.68868425868,83331.6328272562,901466.3421444367,956.0
38,154.0,991.2621326286195,21417.002269056295,3.927,3.463,635.7344711011483,5.98,496.9410050965016,428819.6581768688,955.0
39,156.0,6461.764758162105,17014.005616381324,4.036,3.501,9252.995478284492,31992.96015078067,38225.81471541562,805630.9274259626,950.0
40,160.0,16911.031309447644,6379.200754669361,4.046,3.494,17793.393005292986,38696.46265758772,35650.279985517904,942921.8382183242,938.0
41,165.0,1079.6579224375917,852.2414579585183,3.986,3.496,-113.58400001004338,5.98,4509.488885107847,471933.501295878,935.0
42,170.0,5731.527790601425,27694.95478677091,4.038,3.326,8939.180560250465,17522.92624163795,13636.129878109119,845265.4817889122,928.0
43,184.0,4247.5044418893685,1991.8769444941342,4.045,3.419,8155.499600156498,13594.936411881423,7480.016782909337,318448.25645227067,924.0
44,185.0,11017.18471636238,23509.833874194937,4.088,3.369,12125.34205616058,18450.95782832014,19704.28844715904,814915.580379195,921.0
45,186.0,1650.993638697997,2887.705793844594,4.035,3.456,-113.58400001004338,5.98,2876.4462954593855,629707.1447334641,912.0
46,189.0,39.13450655444538,4638.860732694483,3.928,3.425,-113.58400001004338,5.98,5.98,29225.479236115294,910.0
